question,ground_truth
Những người có họ trong phạm vi ba đời gồm những ai?,"Căn cứ tại khoản 18 Điều 3 Luật Hôn nhân và gia đình 2014 quy định về những người có họ trong phạm vi ba đời như sau:

Điều 3. Giải thích từ ngữ

Trong Luật này, các từ ngữ dưới đây được hiểu như sau:

[...]

17. Những người cùng dòng máu về trực hệ là những người có quan hệ huyết thống, trong đó, người này sinh ra người kia kế tiếp nhau.

18. Những người có họ trong phạm vi ba đời là những người cùng một gốc sinh ra gồm cha mẹ là đời thứ nhất; anh, chị, em cùng cha mẹ, cùng cha khác mẹ, cùng mẹ khác cha là đời thứ hai; anh, chị, em con chú, con bác, con cô, con cậu, con dì là đời thứ ba.

19. Người thân thích là người có quan hệ hôn nhân, nuôi dưỡng, người có cùng dòng máu về trực hệ và người có họ trong phạm vi ba đời.

[...]

Như vậy, những người có họ trong phạm vi ba đời là những người cùng một gốc sinh ra gồm:

- Đời thứ nhất là cha mẹ;

- Đời thứ hai là anh, chị, em cùng cha mẹ, cùng cha khác mẹ, cùng mẹ khác cha;

- Đời thứ ba là anh, chị, em con chú, con bác, con cô, con cậu, con dì."
Có được đăng ký kết hôn trong phạm vi ba đời không? Tại sao cấm kết hôn trong phạm vi ba đời?,"Căn cứ theo Điều 8 Luật Hôn nhân và gia đình 2014 quy định về điều kiện kết hôn như sau:

Điều 8. Điều kiện kết hôn

1. Nam, nữ kết hôn với nhau phải tuân theo các điều kiện sau đây:

a) Nam từ đủ 20 tuổi trở lên, nữ từ đủ 18 tuổi trở lên;

b) Việc kết hôn do nam và nữ tự nguyện quyết định;

c) Không bị mất năng lực hành vi dân sự;

d) Việc kết hôn không thuộc một trong các trường hợp cấm kết hôn theo quy định tại các điểm a, b, c và d khoản 2 Điều 5 của Luật này.

2. Nhà nước không thừa nhận hôn nhân giữa những người cùng giới tính.

Căn cứ theo Điều 5 Luật Hôn nhân và gia đình 2014 quy định về bảo vệ chế độ hôn nhân và gia đình như sau:

Điều 5. Bảo vệ chế độ hôn nhân và gia đình

1. Quan hệ hôn nhân và gia đình được xác lập, thực hiện theo quy định của Luật này được tôn trọng và được pháp luật bảo vệ.

2. Cấm các hành vi sau đây:

a) Kết hôn giả tạo, ly hôn giả tạo;

b) Tảo hôn, cưỡng ép kết hôn, lừa dối kết hôn, cản trở kết hôn;

c) Người đang có vợ, có chồng mà kết hôn hoặc chung sống như vợ chồng với người khác hoặc chưa có vợ, chưa có chồng mà kết hôn hoặc chung sống như vợ chồng với người đang có chồng, có vợ;

d) Kết hôn hoặc chung sống như vợ chồng giữa những người cùng dòng máu về trực hệ; giữa những người có họ trong phạm vi ba đời; giữa cha, mẹ nuôi với con nuôi; giữa người đã từng là cha, mẹ nuôi với con nuôi, cha chồng với con dâu, mẹ vợ với con rể, cha dượng với con riêng của vợ, mẹ kế với con riêng của chồng;

đ) Yêu sách của cải trong kết hôn;

e) Cưỡng ép ly hôn, lừa dối ly hôn, cản trở ly hôn;

g) Thực hiện sinh con bằng kỹ thuật hỗ trợ sinh sản vì mục đích thương mại, mang thai hộ vì mục đích thương mại, lựa chọn giới tính thai nhi, sinh sản vô tính;

h) Bạo lực gia đình;

i) Lợi dụng việc thực hiện quyền về hôn nhân và gia đình để mua bán người, bóc lột sức lao động, xâm phạm tình dục hoặc có hành vi khác nhằm mục đích trục lợi.

3. Mọi hành vi vi phạm pháp luật về hôn nhân và gia đình phải được xử lý nghiêm minh, đúng pháp luật.

Cơ quan, tổ chức, cá nhân có quyền yêu cầu Tòa án, cơ quan khác có thẩm quyền áp dụng biện pháp kịp thời ngăn chặn và xử lý người có hành vi vi phạm pháp luật về hôn nhân và gia đình.

[...]

Theo đó, kết hôn trong phạm vi ba đời thuộc một trong những hành vi bị pháp luật cấm trong bảo vệ chế độ hôn nhân và gia đình.

Không chỉ theo pháp luật cấm mà còn theo y học, khi kết hôn giữa những người có họ hàng gần thì đời con có tỷ lệ kiểu gen dị hợp giảm, đồng hợp tăng, tạo điều kiện cho các gen lặn có hại biểu hiện ra kiểu hình. Do vậy, khi đẻ ra, con cái thường bị dị tật. quái thai,…

Như vậy, không được đăng ký kết hôn trong phạm vi ba đời."
Mức xử phạt đối với hành vi kết hôn giữa những người có họ trong phạm vi ba đời là bao nhiêu?,"Căn cứ tại điểm a khoản 2 Điều 59 Nghị định 82/2020/NĐ-CP quy định về hành vi vi phạm quy định về kết hôn như sau:

Điều 59. Hành vi vi phạm quy định về kết hôn, ly hôn và vi phạm chế độ hôn nhân một vợ, một chồng

[...]

2. Phạt tiền từ 10.000.000 đồng đến 20.000.000 đồng đối với một trong các hành vi sau:

a) Kết hôn hoặc chung sống như vợ chồng giữa những người cùng dòng máu về trực hệ hoặc giữa những người có họ trong phạm vi ba đời;

b) Kết hôn hoặc chung sống như vợ chồng giữa cha, mẹ nuôi với con nuôi;

c) Cưỡng ép kết hôn hoặc lừa dối kết hôn; cưỡng ép ly hôn hoặc lừa dối ly hôn;

d) Lợi dụng việc kết hôn để xuất cảnh, nhập cảnh, cư trú, nhập quốc tịch Việt Nam, quốc tịch nước ngoài; hưởng chế độ ưu đãi của Nhà nước hoặc để đạt được mục đích khác mà không nhằm mục đích xây dựng gia đình;

[...]

Như vậy, mức xử phạt đối với hành vi kết hôn giữa những người có họ trong phạm vi ba đời có thể bị phạt tiền từ 10.000.000 đồng đến 20.000.000 đồng."
Kết hôn cận huyết là gì?,"Căn cứ Điều 5 Luật Hôn nhân và gia đình 2014 quy định bảo vệ chế độ hôn nhân và gia đình:

Điều 5. Bảo vệ chế độ hôn nhân và gia đình

1. Quan hệ hôn nhân và gia đình được xác lập, thực hiện theo quy định của Luật này được tôn trọng và được pháp luật bảo vệ.

2. Cấm các hành vi sau đây:

a) Kết hôn giả tạo, ly hôn giả tạo;

b) Tảo hôn, cưỡng ép kết hôn, lừa dối kết hôn, cản trở kết hôn;

c) Người đang có vợ, có chồng mà kết hôn hoặc chung sống như vợ chồng với người khác hoặc chưa có vợ, chưa có chồng mà kết hôn hoặc chung sống như vợ chồng với người đang có chồng, có vợ;

d) Kết hôn hoặc chung sống như vợ chồng giữa những người cùng dòng máu về trực hệ; giữa những người có họ trong phạm vi ba đời; giữa cha, mẹ nuôi với con nuôi; giữa người đã từng là cha, mẹ nuôi với con nuôi, cha chồng với con dâu, mẹ vợ với con rể, cha dượng với con riêng của vợ, mẹ kế với con riêng của chồng;

[...]

Theo quy định trên, có thể hiểu kết hôn cận huyết là việc kết hôn hoặc chung sống như vợ chồng giữa những người có cùng dòng máu trực hệ hoặc người có họ trong phạm vi ba đời.

Các khái niệm về cùng dòng máu trực hệ và cùng có họ trong phạm vi ba đời được quy định cụ thể tại khoản 17 và khoản 18 Điều 3 Luật Hôn nhân và gia đình 2014 như sau:

- Những người có cùng dòng máu về trực hệ được quy định những người có quan hệ huyết thống với nhau, theo đó, người này sinh ra người kia kế tiếp nhau. Ví dụ như giữa cha mẹ đẻ và con đẻ.

- Những người có họ trong phạm vi ba đời được hiểu là những người cùng một gốc được sinh ra. Bao gồm:

+ Đời thứ nhất gồm cha, mẹ;

+ Đời thứ hai bao gồm anh, chị, em cùng cha mẹ; anh, chị, em cùng mẹ khác cha và anh, chị, em cùng cha khác mẹ;

+ Đời thứ ba bao gồm anh, chị, em con cậu, con bác, con chú, con cô, con dì;

Như vậy, kết hôn cận huyết là hôn nhân giữa những người thuộc một trong các trường hợp nêu trên."
Hôn nhân cận huyết có được đăng ký kết hôn?,"Căn cứ Điều 8 Luật Hôn nhân và gia đình 2014 quy định điều kiện kết hôn:

Điều 8. Điều kiện kết hôn

1. Nam, nữ kết hôn với nhau phải tuân theo các điều kiện sau đây:

a) Nam từ đủ 20 tuổi trở lên, nữ từ đủ 18 tuổi trở lên;

b) Việc kết hôn do nam và nữ tự nguyện quyết định;

c) Không bị mất năng lực hành vi dân sự;

d) Việc kết hôn không thuộc một trong các trường hợp cấm kết hôn theo quy định tại các điểm a, b, c và d khoản 2 Điều 5 của Luật này.

2. Nhà nước không thừa nhận hôn nhân giữa những người cùng giới tính.

Căn cứ Điều 5 Luật Hôn nhân và gia đình 2014 quy định bảo vệ chế độ hôn nhân và gia đình:

Điều 5. Bảo vệ chế độ hôn nhân và gia đình

1. Quan hệ hôn nhân và gia đình được xác lập, thực hiện theo quy định của Luật này được tôn trọng và được pháp luật bảo vệ.

2. Cấm các hành vi sau đây:

a) Kết hôn giả tạo, ly hôn giả tạo;

b) Tảo hôn, cưỡng ép kết hôn, lừa dối kết hôn, cản trở kết hôn;

c) Người đang có vợ, có chồng mà kết hôn hoặc chung sống như vợ chồng với người khác hoặc chưa có vợ, chưa có chồng mà kết hôn hoặc chung sống như vợ chồng với người đang có chồng, có vợ;

d) Kết hôn hoặc chung sống như vợ chồng giữa những người cùng dòng máu về trực hệ; giữa những người có họ trong phạm vi ba đời; giữa cha, mẹ nuôi với con nuôi; giữa người đã từng là cha, mẹ nuôi với con nuôi, cha chồng với con dâu, mẹ vợ với con rể, cha dượng với con riêng của vợ, mẹ kế với con riêng của chồng;

[...]

Như vậy, từ những quy định trên có thể thấy hôn nhân cận huyết là một trong những trường hợp cấm theo quy định của Luật Hôn nhân và gia đình 2014 . Do đó, hôn nhân cận huyết không được đăng ký kết hôn."
Kết hôn cận huyết bị phạt thế nào?,"Do kết hôn cận huyết là một trong những hành vi bị pháp luật nghiêm cấm. Hiện nay, hành vi này được quy định mức xử phạt hành chính tại điểm a khoản 2 Điều 59 Nghị định 82/2020/NĐ-CP như sau:

Điều 59. Hành vi vi phạm quy định về kết hôn, ly hôn và vi phạm chế độ hôn nhân một vợ, một chồng

[...]

2. Phạt tiền từ 10.000.000 đồng đến 20.000.000 đồng đối với một trong các hành vi sau:

a) Kết hôn hoặc chung sống như vợ chồng giữa những người cùng dòng máu về trực hệ hoặc giữa những người có họ trong phạm vi ba đời;

[...]

Như vậy, những người có hành vi kết hôn hoặc chỉ chung sống như vợ chồng với người cận huyết của mình (những người có cùng dòng máu trực hệ hoặc có họ trong phạm vi ba đời) tùy vào mức độ nghiêm trọng mà có thể bị xử phạt vi phạm hành chính với mức phạt tiền từ 10 triệu đồng đến 20 triệu đồng.

Đồng thời, tại Điều 184 Bộ luật Hình sự 2015 quy định thì Kết hôn cận huyết cũng được xem là tội loạn luân

Do đó, người nào giao cấu với người mà biết rõ người đó cùng dòng máu về trực hệ, là anh chị em cùng cha mẹ, anh chị em cùng cha khác mẹ hoặc cùng mẹ khác cha, thì bị phạt tù từ 01 năm đến 05 năm."
Tái hôn là gì?,"Căn cứ Điều 9 Luật Hôn nhân và gia đình 2014 quy định đăng ký kết hôn :

Đăng ký kết hôn

1. Việc kết hôn phải được đăng ký và do cơ quan nhà nước có thẩm quyền thực hiện theo quy định của Luật này và pháp luật về hộ tịch.

Việc kết hôn không được đăng ký theo quy định tại khoản này thì không có giá trị pháp lý.

2. Vợ chồng đã ly hôn muốn xác lập lại quan hệ vợ chồng thì phải đăng ký kết hôn.

Theo đó, tái hôn là việc vợ chồng đã ly hôn nhưng muốn xác lập lại quan hệ vợ chồng.

Tái hôn là một sự kiện pháp lý hoàn toàn khác với việc đăng ký lại kết hôn. Việc đăng ký lại kết hôn chỉ áp dụng đối với những trường hợp giấy đăng ký kết hôn bị mất hoặc hư hỏng.

Còn việc tái hôn áp dụng với những trường hợp đã ly hôn nhưng muốn xác lập lại quan hệ vợ chồng."
Thủ tục tái hôn năm 2024 cấp xã được thực hiện như thế nào?,"Căn cứ Điều 8 Luật Hôn nhân và gia đình 2014 quy định điều kiện kết hôn:

Điều kiện kết hôn

1. Nam, nữ kết hôn với nhau phải tuân theo các điều kiện sau đây:

a) Nam từ đủ 20 tuổi trở lên, nữ từ đủ 18 tuổi trở lên;

b) Việc kết hôn do nam và nữ tự nguyện quyết định;

c) Không bị mất năng lực hành vi dân sự;

d) Việc kết hôn không thuộc một trong các trường hợp cấm kết hôn theo quy định tại các điểm a, b, c và d khoản 2 Điều 5 của Luật này.

2. Nhà nước không thừa nhận hôn nhân giữa những người cùng giới tính.

Căn cứ Điều 18 Luật Hộ tịch 2014 quy định thủ tục đăng ký kết hôn:

Thủ tục đăng ký kết hôn

1. Hai bên nam, nữ nộp tờ khai đăng ký kết hôn theo mẫu quy định cho cơ quan đăng ký hộ tịch và cùng có mặt khi đăng ký kết hôn.

2. Ngay sau khi nhận đủ giấy tờ theo quy định tại khoản 1 Điều này, nếu thấy đủ điều kiện kết hôn theo quy định của Luật hôn nhân và gia đình, công chức tư pháp - hộ tịch ghi việc kết hôn vào Sổ hộ tịch, cùng hai bên nam, nữ ký tên vào Sổ hộ tịch. Hai bên nam, nữ cùng ký vào Giấy chứng nhận kết hôn; công chức tư pháp - hộ tịch báo cáo Chủ tịch Ủy ban nhân dân cấp xã tổ chức trao Giấy chứng nhận kết hôn cho hai bên nam, nữ.

Trường hợp cần xác minh điều kiện kết hôn của hai bên nam, nữ thì thời hạn giải quyết không quá 05 ngày làm việc.

Theo đó, thủ tục tái hôn năm 2024 cấp xã được thực hiện như sau:

(1) Vợ chồng muốn tái hôn phải đáp ứng các điều kiện sau:

- Nam từ đủ 20 tuổi trở lên, nữ từ đủ 18 tuổi trở lên

- Việc tái hôn do nam và nữ tự nguyện quyết định;

- Vợ chồng tái hôn không bị mất năng lực hành vi dân sự;

- Việc tái hôn không thuộc một trong các trường hợp sau:

+ Kết hôn giả tạo, ly hôn giả tạo;

+ Tảo hôn, cưỡng ép kết hôn, lừa dối kết hôn, cản trở kết hôn;

+ Người đang có vợ, có chồng mà kết hôn hoặc chung sống như vợ chồng với người khác hoặc chưa có vợ, chưa có chồng mà kết hôn hoặc chung sống như vợ chồng với người đang có chồng, có vợ;

+ Kết hôn hoặc chung sống như vợ chồng giữa những người cùng dòng máu về trực hệ; giữa những người có họ trong phạm vi ba đời; giữa cha, mẹ nuôi với con nuôi; giữa người đã từng là cha, mẹ nuôi với con nuôi, cha chồng với con dâu, mẹ vợ với con rể, cha dượng với con riêng của vợ, mẹ kế với con riêng của chồng;

(2) Hồ sơ tái hôn gồm các giấy tờ sau:

- Tờ khai đăng ký kết hôn Tải về

- Giấy xác nhận tình trạng hôn nhân

- Giấy tờ nhân thân

- Quyết định hoặc bản án ly hôn của Tòa án.

(3) Thủ tục tái hôn năm 2024 cấp xã như sau:

Bước 1 : Nam nữ nộp tờ khai đăng ký kết hôn cho cơ quan đăng ký hộ tịch và cùng có mặt khi đăng ký kết hôn.

Bước 2 : Tiếp nhận và kiểm tra hồ sơ

Ngay sau khi nhận đủ giấy tờ, nếu thấy đủ điều kiện kết hôn theo quy định thì công chức tư pháp - hộ tịch ghi việc kết hôn vào Sổ hộ tịch, cùng hai bên nam, nữ ký tên vào Sổ hộ tịch.

Trường hợp cần xác minh điều kiện kết hôn của hai bên nam, nữ thì thời hạn giải quyết không quá 05 ngày làm việc.

Bước 3 : Nam nữ cùng ký vào Giấy chứng nhận kết hôn nếu đủ điều kiện

Bước 4 : Công chức tư pháp - hộ tịch báo cáo Chủ tịch Ủy ban nhân dân cấp xã tổ chức trao Giấy chứng nhận kết hôn cho hai bên nam, nữ."
Lệ phí tái hôn năm 2024 là bao nhiêu?,"Căn cứ Điều 11 Luật Hộ tịch 2014 quy định lệ phí hộ tịch:

Lệ phí hộ tịch

1. Miễn lệ phí đăng ký hộ tịch trong những trường hợp sau:

a) Đăng ký hộ tịch cho người thuộc gia đình có công với cách mạng; người thuộc hộ nghèo; người khuyết tật;

b) Đăng ký khai sinh, khai tử đúng hạn, giám hộ, kết hôn của công dân Việt Nam cư trú ở trong nước.

2. Cá nhân yêu cầu đăng ký sự kiện hộ tịch khác ngoài quy định tại khoản 1 Điều này, yêu cầu cấp bản sao trích lục hộ tịch phải nộp lệ phí.

Bộ Tài chính quy định chi tiết thẩm quyền thu, mức thu, nộp, chế độ quản lý và sử dụng lệ phí hộ tịch.

Theo quy định trên, đăng ký kết hôn của công dân Việt Nam cư trú ở trong nước thuộc trường hợp được miễn lệ phí. Vì vậy, công dân Việt Nam cư trú ở trong nước đăng ký tái hôn thì được miễn lệ phí.

Trân trọng!"
Hôn nhân đồng giới là gì?,"Theo Điều 5 Luật Bình đẳng giới 2006 quy định về giới tính như sau:

Giải thích từ ngữ

Trong Luật này, các từ ngữ dưới đây được hiểu như sau:

1. Giới chỉ đặc điểm, vị trí, vai trò của nam và nữ trong tất cả các mối quan hệ xã hội.

2. Giới tính chỉ các đặc điểm sinh học của nam, nữ.

...

Hôn nhân đồng giới là hôn nhân giữa hai người có cùng giới tính, thường là nam và nam hoặc nữ và nữ.

Hôn nhân đồng giới được hợp pháp hóa ở hơn 30 quốc gia trên thế giới, bao gồm Hoa Kỳ, Canada, Vương quốc Anh, Pháp, Đức, Tây Ban Nha và Brazil....

Hôn nhân đồng giới mang lại cho các cặp vợ chồng đồng giới những quyền và lợi ích giống như các cặp vợ chồng khác giới, bao gồm:

- Quyền được kết hôn và ly hôn.

- Quyền thừa kế tài sản của nhau.

- Quyền chăm sóc y tế của nhau.

- Quyền bảo lãnh và nhận con nuôi.

- Quyền bảo hiểm và quyền lợi hưu trí của nhau.

Hôn nhân đồng giới là một vấn đề gây tranh cãi ở nhiều quốc gia. Những người ủng hộ hôn nhân đồng giới cho rằng hôn nhân là một quyền cơ bản của con người và nên được mở rộng cho tất cả mọi người, bất kể giới tính của họ. Những người phản đối hôn nhân đồng giới cho rằng hôn nhân là một định nghĩa truyền thống chỉ dành cho nam và nữ.

Hôn nhân đồng giới đang trở nên phổ biến hơn trên toàn thế giới. Số lượng quốc gia hợp pháp hóa hôn nhân đồng giới đang tăng lên và ngày càng có nhiều người ủng hộ hôn nhân bình đẳng."
